"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_NOTIFY_WAIT_INFO","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Пожалуйста, подождите... получение информации с сервера","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Veuillez patienter... récupération des informations depuis le serveur","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server"
"VSTR_NOTIFY_TOTALSCANNED","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Количество объектов:","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Objets Totaux Scannés :","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:"
"VSTR_XML_ERR_NOT_DEF","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","НЕ ОПРЕДЕЛЕНО!","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","NON DÉFINI !","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!"
"VSTR_XML_SUCCESS_RETRIVE","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Данные успешно получены!","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Données récupérées avec succès depuis le serveur !","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!"
"VSTR_XML_NOTIFY_ERR","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Не удалось сохранить... нет данных для сохранения!","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Échec de l'enregistrement... aucune donnée à enregistrer !","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!"
"VSTR_XML_ERR_SELECTFIRST","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","Вам нужно выбрать предмет из списка!","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","Vous devez sélectionner un objet dans la liste !","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!"
"VSTR_YEAR","Year","Year","Year","Year","Год","Year","Year","Year","Year","Année","Year","Year","Year","Year"
"VSTR_MONTH","Month","Month","Month","Month","Месяц","Month","Month","Month","Month","Mois","Month","Month","Month","Month"
"VSTR_DAY","Day","Day","Day","Day","День","Day","Day","Day","Day","Jour","Day","Day","Day","Day"
"VSTR_HOUR","Hour","Hour","Hour","Hour","Час","Hour","Hour","Hour","Hour","Heure","Hour","Hour","Hour","Hour"
"VSTR_MINUTE","Minute","Minute","Minute","Minute","Минута","Minute","Minute","Minute","Minute","Minute","Minute","Minute","Minute","Minute"
"VSTR_CANCEL","Cancel","Cancel","Cancel","Cancel","Отмена","Cancel","Cancel","Cancel","Cancel","Annuler","Cancel","Cancel","Cancel","Cancel"
"VSTR_APPLY","Apply","Apply","Apply","Apply","Применить","Apply","Apply","Apply","Apply","Appliquer","Apply","Apply","Apply","Apply"
"VSTR_BAN_PERMA","Ban Permanently","Ban Permanently","Ban Permanently","Ban Permanently","Бан Навсегда","Ban Permanently","Ban Permanently","Ban Permanently","Ban Permanently","Bannir définitivement","Ban Permanently","Ban Permanently","Ban Permanently","Ban Permanently"
"VSTR_EDIT_DURATION","Edit Duration","Edit Duration","Edit Duration","Edit Duration","Изменить длительность","Edit Duration","Edit Duration","Edit Duration","Edit Duration","Modifier la durée","Edit Duration","Edit Duration","Edit Duration","Edit Duration"
"VSTR_SEARCH","Search...","Search...","Search...","Search...","Поиск…","Search...","Search...","Search...","Search...","Rechercher...","Search...","Search...","Search...","Search..."
"VSTR_BAN_LIST_MANAGER_TITLE","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","БАН Лист Сервера","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","GESTIONNAIRE LISTE DE BAN","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER","SERVER BAN LIST MANAGER"
